Elmhurst,41.9218,-87.9406,272,26248.78,56.0
White Marsh,39.3694,-76.4473,272,22480.63,18.8
Nanuet,41.098,-73.9979,271,38410.97,72.6
South Burlington,44.4312,-73.2111,271,33571.23,52.5
Easton,40.7214,-75.2936,270,20940.83,75.4
Springfield,40.6849,-74.3315,270,38552.95,65.6
Natick,42.3005,-71.3557,270,34474.94,118.4
Princeton,40.3912,-74.654,269,41576.68,47.9
Lafayette,40.4108,-86.8579,268,31330.61,43.0
New Bedford,41.6605,-70.9416,267,32496.0,121.2
Westport,41.6415,-71.0512,267,20633.94,69.2
Mattoon,39.4818,-88.3787,266,28175.42,81.2
Philadelphia,40.1043,-75.0034,266,20692.37,38.3
Nazareth,40.7404,-75.3096,266,32833.57,199.3
Spring Valley,41.1075,-74.0374,265,48737.36,45.4
Danvers,42.5521,-70.9599,265,24248.87,23.8
Yonkers,40.9618,-73.8404,265,34283.17,41.9
Little Falls,40.8811,-74.2246,265,32636.36,71.9
Clifton,40.8694,-74.1836,264,37153.52,82.9
Westwood,42.214,-71.1824,264,55912.45,102.4
Mendham,40.7821,-74.5878,264,42443.68,81.8
Mahwah,41.1041,-74.1471,264,32321.29,156.8
Burlington,40.0731,-74.8493,263,32566.49,47.8
Blackwood,39.7666,-75.0487,263,31851.73,61.1
Danvers,42.5975,-70.963,263,23057.14,38.5
Merrillville,41.4709,-87.2789,263,25006.2,45.5
Lancaster,42.5184,-71.6926,262,28634.5,36.1
Sharon,41.2331,-80.4862,262,29598.77,116.1
Summit,40.7164,-74.3633,262,65960.26,60.8
Lapeer,43.0169,-83.3221,262,33661.47,53.5
Bel Air,39.4903,-76.3638,261,33569.91,103.4
Emmaus,40.547,-75.4895,261,26401.83,131.1
North Attleboro,41.962,-71.3407,261,25777.61,51.4
Lafayette,40.4142,-86.8579,261,34443.73,54.3
Rhinebeck,41.9572,-73.894,261,33172.2,66.8
Highland,41.5375,-87.4695,261,28089.29,86.6
Laurel,39.0947,-76.7955,260,25387.61,44.0
Niles,42.0111,-87.7712,260,22190.5,69.6
East Providence,41.8211,-71.362,259,24435.9,67.2
Baltimore,39.2869,-76.5058,258,27984.55,109.2
Johnston,41.8279,-71.5144,258,23391.45,109.6
West New York,40.7952,-74.0168,258,28189.63,56.8
Oak Lawn,41.7194,-87.7884,258,30071.53,42.6
Riverdale,40.9849,-74.3039,258,25677.92,56.7
Utica,43.1378,-75.2171,257,27820.88,71.7
Union,40.6892,-74.3071,256,34707.47,48.5
Hillside,40.6969,-74.2196,256,25612.92,73.8
Buffalo,42.9789,-78.7883,256,20105.18,80.3
North Haven,41.3453,-72.8694,256,25126.12,129.3
Somerville,42.378,-71.089,256,55030.52,74.7
Bel Air,39.5107,-76.3767,255,27024.53,45.6
Ephrata,40.2034,-76.1564,255,22269.66,27.5
Manchester,42.9519,-71.4377,255,23486.41,26.4
Salem,42.7496,-71.2045,255,28663.2,63.3
Elizabeth,40.652,-74.216,255,16874.92,218.8
Butler,40.8191,-79.9275,254,36070.68,64.7
Edison,40.5099,-74.3876,254,43043.77,50.2
Wheaton,39.0406,-77.0575,253,26933.63,124.1
Tilton,43.4518,-71.5733,253,27459.81,47.9
Ft Wayne,41.0921,-85.0879,253,17237.06,38.2
Kalamazoo,42.2707,-85.6404,253,25109.3,48.8
Greenwood,39.5999,-86.1053,253,28074.25,39.7
Great Neck,40.783,-73.7143,252,33401.71,114.7
St Albans,44.8433,-73.0765,252,26492.21,80.1
Riverhead,40.9273,-72.6858,252,24995.24,89.8
Lisle,41.8025,-88.062,251,28693.83,61.9
Rochester,43.1275,-77.4944,251,28477.75,62.7
West Mifflin,40.3488,-79.9362,250,31992.05,190.7
Jersey City,40.7033,-74.0759,250,21528.48,29.4
Clifton Park,42.8573,-73.7724,250,29903.36,68.9
North Riverside,41.8511,-87.8071,250,29744.41,121.0
Homewood,41.5615,-87.6361,249,22243.46,79.1
Reading,42.5179,-71.0917,249,26097.02,78.3
Alexandria,38.8076,-77.1292,249,49952.81,34.5
Plymouth,42.3588,-83.4673,249,30933.8,50.5
Merrillville,41.4709,-87.2861,249,24115.02,64.6
Valley Stream,40.6586,-73.6947,249,28425.45,44.5
St James,40.8614,-73.1426,248,31894.63,74.2
Chicago,41.9236,-87.7938,248,26107.28,76.9
Forest Hills,40.7221,-73.848,248,24093.6,56.8
Cranbury,40.2957,-74.5169,248,34022.23,79.0
Ypsilanti,42.2477,-83.6456,247,24542.07,86.6
New Rochelle,40.9188,-73.7769,247,25619.64,67.2
Wellesley Hills,42.3152,-71.2478,247,32872.77,41.9
Bridgeport,41.2022,-73.19,246,44859.99,39.5
Raynham,41.9036,-71.0033,246,41731.01,111.0
Norwood,42.1937,-71.1841,246,66261.11,195.7
Naperville,41.7684,-88.1864,246,29408.15,96.8
Limerick,40.2176,-75.5475,246,33784.76,122.2
Stamford,41.056,-73.523,245,32535.82,91.1
Jarrettsville,39.6048,-76.4787,245,43523.22,90.6
Vernon Rockville,41.863,-72.4821,245,37670.22,94.4
Hartford,41.7839,-72.6621,244,27358.53,99.4
Hillside,41.8715,-87.9026,244,22121.78,13.8
Mount Kisco,41.2142,-73.7204,244,40386.89,114.8
China,42.8156,-82.5144,244,31913.19,65.9
Foxboro,42.0995,-71.2626,244,38724.47,99.0
Nashua,42.7295,-71.4462,243,22669.49,27.1
Waterford,42.6599,-83.4046,243,20177.3,146.4
Zionsville,39.9419,-86.2374,243,36835.42,73.7
