Pound Ridge,41.2289,-73.5622,2016-11-01,1,1398.0,Low Demand
Canonsburg,40.2593,-80.1842,2016-11-01,1,1397.0,Low Demand
Chicago,41.8936,-87.6865,2016-11-01,1,1387.0,Low Demand
Delphi,40.5869,-86.6863,2016-12-01,7,1378.0,Low Demand
Newport,44.943,-72.1954,2016-12-01,2,1351.0,Low Demand
Rochester,43.2138,-77.7306,2016-12-01,2,1378.0,Low Demand
Gurnee,42.3839,-87.9568,2016-12-01,2,1367.5,Low Demand
Chicago,41.7749,-87.6839,2016-12-01,1,1372.0,Low Demand
Gibsonburg,41.3846,-83.3011,2016-12-01,1,1368.0,Low Demand
Vineland,39.4857,-74.9728,2016-12-01,1,1359.0,Low Demand
Elmwood Park,40.919,-74.1261,2016-12-01,1,1351.0,Low Demand
Dickson City,41.4669,-75.6445,2016-12-01,1,1378.0,Low Demand
Ithaca,42.4806,-76.4775,2016-12-01,1,1377.0,Low Demand
Naperville,41.7636,-88.1938,2016-12-01,1,1362.0,Low Demand
Rensselaer,40.9697,-87.1288,2016-12-01,1,1378.0,Low Demand
Buffalo,42.9487,-78.8287,2016-12-01,1,1361.0,Low Demand
Rochester,43.1301,-77.4948,2016-12-01,1,1363.0,Low Demand
Barberton,41.0482,-81.6085,2016-12-01,1,1360.0,Low Demand
Barberton,41.0482,-81.6085,2017-01-01,2,1332.0,Low Demand
Bernardsville,40.7205,-74.56,2017-01-01,1,1341.0,Low Demand
Hamilton Township,40.2338,-74.7038,2017-01-01,1,1329.0,Low Demand
Derry,42.8638,-71.2889,2017-01-01,1,1346.0,Low Demand
Brooklyn,40.6774,-73.8959,2017-01-01,1,1317.0,Low Demand
Claremont,43.3711,-72.3269,2017-01-01,1,1323.0,Low Demand
Pasadena,39.1353,-76.5944,2017-01-01,1,1345.0,Low Demand
Southampton,40.9006,-72.3772,2017-01-01,1,1344.0,Low Demand
Branchville,41.1447,-74.7554,2017-01-01,1,1335.0,Low Demand
Delphi,40.5869,-86.6863,2017-01-01,1,1320.0,Low Demand
Buffalo,42.9217,-78.8985,2017-01-01,1,1335.0,Low Demand
Bourne,41.7122,-70.5834,2017-01-01,1,1340.0,Low Demand
Hampton Falls,42.9183,-70.8624,2017-02-01,2,1303.0,Low Demand
Warsaw,41.2464,-85.8669,2017-02-01,2,1293.0,Low Demand
Shrewsbury,42.2449,-71.7372,2017-02-01,1,1289.0,Low Demand
Burbank,41.7483,-87.7912,2017-02-01,1,1302.0,Low Demand
Alden,42.892,-78.5545,2017-02-01,1,1303.0,Low Demand
Barberton,41.0482,-81.6085,2017-02-01,1,1299.0,Low Demand
Utica,43.0888,-75.2348,2017-02-01,1,1307.0,Low Demand
Waterford,42.025,-80.0615,2017-02-01,1,1306.0,Low Demand
Farmingdale,44.2579,-69.7748,2017-02-01,1,1295.0,Low Demand
Chicago,41.7749,-87.6839,2017-02-01,1,1303.0,Low Demand
Pittsford,43.0908,-77.5161,2017-02-01,1,1317.0,Low Demand
Lowell,42.6273,-71.3499,2017-02-01,1,1298.0,Low Demand
Abington,42.0994,-70.9612,2017-02-01,1,1307.0,Low Demand
Hanover,39.8009,-76.9566,2017-03-01,6,1260.0,Low Demand
Warren,42.5131,-83.0286,2017-03-01,3,1269.7,Low Demand
Murrysville,40.4475,-79.6822,2017-03-01,1,1287.0,Low Demand
Taylor,42.2145,-83.2692,2017-03-01,1,1277.0,Low Demand
Pound Ridge,41.2289,-73.5622,2017-03-01,1,1288.0,Low Demand
Merrillville,41.4708,-87.3748,2017-03-01,1,1258.0,Low Demand
Valparaiso,41.461,-87.0748,2017-03-01,1,1270.0,Low Demand
Sussex,41.1901,-74.6408,2017-03-01,1,1278.0,Low Demand
Terre Haute,39.4173,-87.4161,2017-03-01,1,1273.0,Low Demand
Cherry Hill,39.9236,-75.044,2017-03-01,1,1287.0,Low Demand
Hinsdale,41.8176,-87.9198,2017-03-01,1,1267.0,Low Demand
Egg Harbor Township,39.4371,-74.6167,2017-03-01,1,1295.0,Low Demand
Port Monmouth,40.4271,-74.1051,2017-04-01,2,1251.0,Low Demand
Guaynabo,18.3467,-66.1098,2017-04-01,2,1242.5,Low Demand
